company_id,company_name,industry,company_size,customer_segment,plan,total_revenue,total_profit,profit_margin,churn_flag,total_events,active_users,engagement_score,engagement_level,last_activity_date
CMP_000021,Gray-Mayo,Technology,Small Business,SMB,Professional,2189.00,1573.33,71.87,0,762,10,7152,High,2026-07-19
CMP_000022,"Watts, Robinson and Nguyen",Technology,Startup,SMB,Business,5489.00,5049.33,91.99,0,219,3,1837,High,2026-07-19
CMP_000023,Perez Inc,Healthcare,Small Business,SMB,Business,5988.00,5508.36,91.99,0,1523,20,14042,High,2026-07-24
CMP_000024,Morales-Jones,Finance,Startup,SMB,Professional,23641.20,22381.92,94.67,0,77,1,714,High,2026-06-22
CMP_000025,"Walter, Edwards and Rios",Finance,Small Business,SMB,Professional,2388.00,1716.36,71.87,0,376,5,3485,High,2026-07-18
CMP_000027,Baker and Sons,Education,Startup,SMB,Enterprise,0,0,0,1,56,2,487,Medium,2026-06-13
CMP_000029,"Ross, Robinson and Bright",Healthcare,Small Business,Mid-Market,Starter,294.00,135.18,45.98,0,166,3,1683,High,2026-05-27
CMP_000030,"Snyder, Campos and Callahan",Professional Services,Mid-Market,SMB,Professional,1990.00,1430.30,71.87,0,6403,86,58478,High,2026-07-25
CMP_000031,Burton Ltd,Technology,Startup,Mid-Market,Professional,2189.00,1573.33,71.87,0,96,2,940,High,2026-06-19
CMP_000034,Frazier Inc,Professional Services,Startup,SMB,Starter,6350.40,5859.84,92.28,0,157,2,1374,High,2026-07-21
CMP_000036,Rodriguez-Graham,Retail,Small Business,SMB,Business,5988.00,5508.36,91.99,0,890,14,8320,High,2026-07-09
CMP_000038,"Baker, Mason and White",Retail,Small Business,SMB,Starter,49.00,22.53,45.98,1,107,3,947,High,2026-06-01
CMP_000040,"Romero, Gonzalez and Brooks",Healthcare,Startup,Enterprise,Starter,5821.20,5371.52,92.28,0,298,4,2695,High,2026-07-22
CMP_000041,Ryan PLC,Technology,Startup,SMB,Starter,5292.00,4883.20,92.28,0,199,4,2014,High,2026-05-31
CMP_000044,Allen-Allen,Technology,Mid-Market,SMB,Starter,588.00,270.36,45.98,0,5920,78,54330,High,2026-07-24
CMP_000045,"Arroyo, Miller and Tucker",Technology,Startup,SMB,Starter,588.00,270.36,45.98,0,49,2,425,Medium,2026-06-16
CMP_000046,Spence PLC,Education,Mid-Market,SMB,Professional,2189.00,1573.33,71.87,0,2110,28,19309,High,2026-07-24
CMP_000048,"Martin, Rose and Obrien",Professional Services,Small Business,Mid-Market,Business,4491.00,4131.27,91.99,0,491,6,4393,High,2026-07-23
CMP_000049,Hickman Ltd,Education,Enterprise,SMB,Professional,2388.00,1716.36,71.87,0,22260,308,203283,High,2026-07-27
CMP_000051,"Brooks, Lam and Hayes",Finance,Startup,SMB,Starter,0,0,0,1,334,3,3226,High,2026-07-18
CMP_000052,Walker LLC,Finance,Small Business,SMB,Business,4990.00,4590.30,91.99,0,536,5,4900,High,2026-07-16
CMP_000054,"Robinson, Jones and Welch",Professional Services,Startup,SMB,Starter,490.00,225.30,45.98,0,258,2,2248,High,2026-07-23
CMP_000056,Jones-Young,Retail,Small Business,Mid-Market,Professional,1990.00,1430.30,71.87,0,1392,20,12363,High,2026-07-20
CMP_000058,"Johnston, Sanchez and Kennedy",Retail,Small Business,SMB,Professional,2388.00,1716.36,71.87,0,579,10,5268,High,2026-07-27
CMP_000059,Lee-Davis,Retail,Startup,SMB,Starter,539.00,247.83,45.98,0,226,3,1953,High,2026-07-13
CMP_000063,Wright and Sons,Education,Startup,Enterprise,Starter,441.00,202.77,45.98,0,236,3,2261,High,2026-07-16
CMP_000064,"West, Henderson and Ramirez",Education,Startup,SMB,Professional,2189.00,1573.33,71.87,0,128,2,1177,High,2026-06-17
CMP_000067,Williams PLC,Healthcare,Startup,SMB,Starter,392.00,180.24,45.98,0,190,3,1709,High,2026-05-31
CMP_000068,Novak and Sons,Technology,Small Business,SMB,Starter,490.00,225.30,45.98,0,674,10,6346,High,2026-07-17
CMP_000069,Russell Group,Education,Enterprise,SMB,Professional,1990.00,1430.30,71.87,0,36221,492,329843,High,2026-07-26
CMP_000070,Hancock Inc,Finance,Startup,SMB,Professional,1791.00,1287.27,71.87,0,262,3,2586,High,2026-07-25
CMP_000071,Gray Group,Technology,Small Business,Mid-Market,Starter,490.00,225.30,45.98,0,388,6,3745,High,2026-07-15
CMP_000072,House-Glover,Professional Services,Mid-Market,SMB,Professional,1592.00,1144.24,71.87,0,1830,37,15940,High,2026-07-24
CMP_000075,Novak PLC,Technology,Small Business,SMB,Starter,0,0,0,1,223,4,1947,High,2026-07-06
CMP_000076,"Daniels, Adkins and Brown",Technology,Mid-Market,SMB,Professional,995.00,715.15,71.87,1,3009,41,26928,High,2026-07-23
CMP_000077,"Woods, Calhoun and Schmidt",Retail,Startup,SMB,Business,5988.00,5508.36,91.99,0,115,2,1096,High,2026-06-15
CMP_000078,Yu Inc,Retail,Small Business,Enterprise,Starter,539.00,247.83,45.98,0,886,12,8070,High,2026-07-22
CMP_000079,Jones Inc,Manufacturing,Small Business,SMB,Starter,441.00,202.77,45.98,0,994,13,9160,High,2026-07-21
CMP_000080,"Hensley, Powell and David",Healthcare,Small Business,SMB,Enterprise,18000.00,15660.00,87.00,0,848,13,8124,High,2026-07-20
CMP_000081,"Sanchez, Wheeler and Harvey",Healthcare,Small Business,SMB,Starter,588.00,270.36,45.98,0,463,7,4240,High,2026-07-21
CMP_000084,"Edwards, Baker and Anderson",Technology,Small Business,SMB,Starter,539.00,247.83,45.98,0,771,11,7053,High,2026-07-13
CMP_000085,"Evans, Stewart and Walton",Technology,Startup,SMB,Starter,0,0,0,1,58,1,569,High,2026-05-30
CMP_000086,Smith PLC,Finance,Mid-Market,Enterprise,Professional,2388.00,1716.36,71.87,0,4212,63,37946,High,2026-07-24
CMP_000088,Anderson-Bailey,Technology,Mid-Market,Mid-Market,Professional,2388.00,1716.36,71.87,0,6955,86,62976,High,2026-07-26
CMP_000095,Campbell-Clark,Finance,Startup,SMB,Starter,6350.40,5859.84,92.28,0,243,5,2143,High,2026-06-10
CMP_000097,Wagner-King,Retail,Startup,Mid-Market,Starter,5821.20,5371.52,92.28,0,58,2,486,Medium,2026-05-30
CMP_000099,Williams-Cook,Healthcare,Startup,SMB,Starter,539.00,247.83,45.98,0,81,1,673,High,2026-07-10
CMP_000100,Walsh LLC,Technology,Startup,Mid-Market,Professional,1990.00,1430.30,71.87,0,12,1,113,Medium,2025-12-03
CMP_000102,"Patterson, Smith and Jones",Retail,Mid-Market,Mid-Market,Professional,2388.00,1716.36,71.87,0,4559,59,42065,High,2026-07-23
CMP_000103,"Mckee, Gardner and Davenport",Finance,Startup,SMB,Enterprise,178200.00,171204.00,96.07,0,87,2,797,High,2026-06-14
CMP_000104,"Tran, Jordan and Williams",Technology,Startup,SMB,Enterprise,13500.00,11745.00,87.00,0,129,2,1389,High,2026-06-10
CMP_000106,Nolan and Sons,Technology,Startup,SMB,Professional,0,0,0,1,230,2,1975,High,2026-07-16
CMP_000107,"Wright, Garcia and Deleon",Healthcare,Enterprise,SMB,Professional,2388.00,1716.36,71.87,0,10044,134,91682,High,2026-07-26
CMP_000110,Johnson-Doyle,Manufacturing,Mid-Market,SMB,Starter,539.00,247.83,45.98,0,4279,73,39132,High,2026-07-24
CMP_000112,"Shields, Cochran and Adams",Finance,Small Business,SMB,Professional,0,0,0,1,610,8,5791,High,2026-07-08
CMP_000114,Gonzalez Group,Finance,Small Business,SMB,Enterprise,16500.00,14355.00,87.00,0,1245,20,11653,High,2026-07-25
CMP_000116,Walker Ltd,Manufacturing,Mid-Market,SMB,Professional,2388.00,1716.36,71.87,0,6479,96,59248,High,2026-07-27
CMP_000119,May-Ross,Healthcare,Small Business,SMB,Professional,2189.00,1573.33,71.87,0,1412,19,12864,High,2026-07-25
CMP_000121,White-Estes,Technology,Small Business,SMB,Starter,490.00,225.30,45.98,0,797,10,7107,High,2026-07-16
CMP_000122,Johnson-Carlson,Manufacturing,Small Business,Mid-Market,Professional,1791.00,1287.27,71.87,0,1047,12,9597,High,2026-07-12
CMP_000124,"Joyce, Wilson and Lam",Manufacturing,Startup,Mid-Market,Starter,490.00,225.30,45.98,0,70,1,636,High,2026-06-20
CMP_000126,Smith-Frost,Finance,Startup,SMB,Enterprise,16500.00,14355.00,87.00,0,241,3,2250,High,2026-07-21
CMP_000127,"Mcdaniel, Bentley and Mclaughlin",Technology,Small Business,SMB,Professional,1990.00,1430.30,71.87,0,1345,20,12387,High,2026-07-23
CMP_000128,Diaz Inc,Retail,Startup,Mid-Market,Business,5489.00,5049.33,91.99,0,317,5,2953,High,2026-06-23
CMP_000129,"Mccall, Hanson and Alvarado",Education,Startup,SMB,Starter,539.00,247.83,45.98,0,132,3,1099,High,2026-06-13
CMP_000130,Cortez LLC,Professional Services,Enterprise,SMB,Starter,588.00,270.36,45.98,0,31311,418,284973,High,2026-07-26
CMP_000131,"Parker, Ortiz and Powell",Technology,Mid-Market,SMB,Enterprise,18000.00,15660.00,87.00,0,3768,50,33932,High,2026-07-25
CMP_000132,Spencer-Lee,Healthcare,Startup,SMB,Starter,588.00,270.36,45.98,0,32,2,324,Medium,2026-01-20
CMP_000133,"Bentley, Byrd and Orr",Professional Services,Small Business,SMB,Starter,539.00,247.83,45.98,0,1176,17,10679,High,2026-07-25
CMP_000135,Mitchell-Jordan,Retail,Startup,SMB,Starter,588.00,270.36,45.98,0,149,3,1429,High,2026-07-06
CMP_000136,"Lawson, Morris and Ramos",Finance,Small Business,SMB,Professional,1990.00,1430.30,71.87,0,1110,20,9928,High,2026-07-21
CMP_000137,"Lewis, Kennedy and Santana",Technology,Small Business,SMB,Professional,1990.00,1430.30,71.87,0,1325,14,12220,High,2026-07-23
CMP_000138,"Jackson, Miller and Robertson",Finance,Small Business,SMB,Starter,588.00,270.36,45.98,0,554,8,5078,High,2026-07-12
CMP_000139,"Harvey, Davis and Crane",Technology,Mid-Market,Enterprise,Starter,0,0,0,1,5200,77,47896,High,2026-07-25
CMP_000140,Chambers and Sons,Technology,Startup,Mid-Market,Professional,2189.00,1573.33,71.87,0,244,4,2160,High,2026-07-25
CMP_000142,Riggs PLC,Retail,Mid-Market,Mid-Market,Starter,588.00,270.36,45.98,0,2450,36,22583,High,2026-07-22
CMP_000143,Gibson Ltd,Manufacturing,Small Business,SMB,Professional,0,0,0,1,253,4,2173,High,2026-07-13
CMP_000144,"Lee, Horton and Snyder",Technology,Startup,SMB,Professional,0,0,0,1,60,2,576,High,2026-06-06
CMP_000145,Hernandez Ltd,Manufacturing,Mid-Market,SMB,Professional,1990.00,1430.30,71.87,0,2433,31,22253,High,2026-07-20
CMP_000147,Robinson-Brock,Technology,Mid-Market,SMB,Starter,490.00,225.30,45.98,0,4950,59,44826,High,2026-07-22
CMP_000149,Bryant Group,Technology,Mid-Market,Enterprise,Professional,0,0,0,1,2765,38,25575,High,2026-07-26
CMP_000150,"Schmidt, Hansen and Stewart",Technology,Enterprise,SMB,Starter,343.00,157.71,45.98,0,15812,229,143330,High,2026-07-26
CMP_000151,Salazar-Ball,Retail,Mid-Market,SMB,Professional,2388.00,1716.36,71.87,0,7433,100,67300,High,2026-07-26
CMP_000152,"Simmons, Meadows and Griffin",Education,Startup,SMB,Business,1497.00,1377.09,91.99,1,396,5,3651,High,2026-07-18
CMP_000153,Manning Group,Finance,Small Business,SMB,Business,5489.00,5049.33,91.99,0,608,8,5473,High,2026-07-25
CMP_000154,Green-Wright,Technology,Small Business,SMB,Business,4990.00,4590.30,91.99,0,942,17,8836,High,2026-07-24
CMP_000155,"Ramirez, Strickland and Washington",Education,Startup,SMB,Professional,2189.00,1573.33,71.87,0,344,5,3340,High,2026-07-21
CMP_000156,Hill Inc,Finance,Startup,SMB,Professional,1791.00,1287.27,71.87,0,260,4,2272,High,2026-06-24
CMP_000157,"Mitchell, Nelson and Flores",Technology,Small Business,SMB,Starter,539.00,247.83,45.98,0,166,4,1466,High,2026-07-07
CMP_000158,"Miller, Hernandez and Reyes",Finance,Small Business,SMB,Enterprise,13500.00,11745.00,87.00,0,1036,14,9686,High,2026-07-22
CMP_000159,Mccarthy Inc,Technology,Enterprise,SMB,Business,0,0,0,1,21666,305,196966,High,2026-07-26
CMP_000160,Russell-Daniels,Technology,Enterprise,SMB,Business,5489.00,5049.33,91.99,0,12543,151,114476,High,2026-07-26
CMP_000161,Brown-Wall,Retail,Mid-Market,Mid-Market,Professional,2388.00,1716.36,71.87,0,1176,20,10687,High,2026-07-16
CMP_000162,Stein-Silva,Finance,Startup,Enterprise,Professional,25790.40,24416.64,94.67,0,174,1,1560,High,2026-07-13
CMP_000163,"Smith, Gilmore and Johnston",Retail,Enterprise,SMB,Starter,588.00,270.36,45.98,0,19601,250,180002,High,2026-07-25
CMP_000166,Medina-Navarro,Technology,Startup,SMB,Professional,2189.00,1573.33,71.87,0,213,3,1926,High,2026-06-15
CMP_000168,Johnson-Rogers,Retail,Startup,SMB,Starter,490.00,225.30,45.98,0,18,1,161,Medium,2026-05-01
CMP_000169,"Yates, Ramsey and Pittman",Professional Services,Mid-Market,Enterprise,Professional,1990.00,1430.30,71.87,0,1890,23,17673,High,2026-07-25
CMP_000170,Hooper PLC,Retail,Mid-Market,Enterprise,Starter,5821.20,5371.52,92.28,0,1351,20,12041,High,2026-07-20
CMP_000172,"Alvarado, Miller and Patterson",Technology,Startup,SMB,Starter,490.00,225.30,45.98,0,124,3,1194,High,2026-06-09
CMP_000173,White-Green,Healthcare,Startup,Enterprise,Starter,490.00,225.30,45.98,0,334,3,3142,High,2026-07-12
CMP_000174,Lewis-Murphy,Professional Services,Mid-Market,SMB,Enterprise,16500.00,14355.00,87.00,0,5490,69,50179,High,2026-07-23
CMP_000175,Ramirez-Bean,Professional Services,Startup,Enterprise,Starter,539.00,247.83,45.98,0,237,2,2257,High,2026-07-17
CMP_000176,King-Miller,Technology,Startup,SMB,Starter,588.00,270.36,45.98,0,21,1,207,Medium,2026-03-07
CMP_000177,Curry Inc,Technology,Enterprise,Mid-Market,Professional,2189.00,1573.33,71.87,0,24638,331,225192,High,2026-07-27
CMP_000180,Howell and Sons,Technology,Mid-Market,SMB,Starter,588.00,270.36,45.98,0,5385,79,48569,High,2026-07-25
CMP_000182,"Gould, Marshall and Scott",Technology,Startup,SMB,Professional,2189.00,1573.33,71.87,0,308,4,2737,High,2026-07-24
CMP_000183,Jackson-Lawson,Manufacturing,Small Business,Enterprise,Professional,2388.00,1716.36,71.87,0,1229,20,10960,High,2026-07-23
CMP_000187,Sanders-Espinoza,Technology,Startup,Mid-Market,Professional,2189.00,1573.33,71.87,0,169,4,1512,High,2026-07-15
CMP_000188,Vargas Ltd,Education,Startup,SMB,Starter,490.00,225.30,45.98,0,118,2,998,High,2026-06-29
CMP_000189,Garcia LLC,Technology,Small Business,SMB,Business,5489.00,5049.33,91.99,0,1564,14,14597,High,2026-07-25
CMP_000190,"Burke, Martinez and Riggs",Finance,Enterprise,SMB,Professional,21492.00,20347.20,94.67,0,27842,384,254254,High,2026-07-27
CMP_000191,Reed Group,Technology,Mid-Market,Enterprise,Enterprise,15000.00,13050.00,87.00,0,6568,89,59360,High,2026-07-22
CMP_000192,"Wood, Hunter and Peterson",Retail,Startup,SMB,Starter,5292.00,4883.20,92.28,0,379,4,3482,High,2026-07-16
CMP_000196,"Nelson, Morton and Medina",Technology,Startup,SMB,Business,5988.00,5508.36,91.99,0,158,2,1444,High,2026-06-20
CMP_000197,Marshall-Petersen,Technology,Mid-Market,Enterprise,Starter,6350.40,5859.84,92.28,0,3002,43,27271,High,2026-07-27
CMP_000198,"Adams, Christian and Rivas",Professional Services,Small Business,Mid-Market,Professional,19342.80,18312.48,94.67,0,1004,12,9040,High,2026-07-25
CMP_000199,Ramirez Group,Retail,Small Business,Mid-Market,Starter,490.00,225.30,45.98,0,338,4,3043,High,2026-07-23
CMP_000201,"Barnett, Rogers and Snyder",Education,Startup,Enterprise,Business,4990.00,4590.30,91.99,0,248,3,2073,High,2026-07-12
CMP_000204,"Beard, Peters and Black",Finance,Small Business,SMB,Starter,539.00,247.83,45.98,0,1299,18,12114,High,2026-07-12
CMP_000205,Miller Ltd,Technology,Small Business,SMB,Professional,1990.00,1430.30,71.87,0,1226,14,11081,High,2026-07-27
CMP_000207,"Alvarez, Joseph and West",Finance,Startup,SMB,Starter,588.00,270.36,45.98,0,257,3,2251,High,2026-06-23
CMP_000208,Davis and Sons,Retail,Small Business,Mid-Market,Starter,6350.40,5859.84,92.28,0,1315,17,12192,High,2026-07-22
CMP_000209,Holt-Torres,Retail,Mid-Market,SMB,Professional,0,0,0,1,3587,41,32978,High,2026-07-24
CMP_000211,"Pierce, Bell and Chavez",Retail,Small Business,SMB,Professional,2388.00,1716.36,71.87,0,835,12,7426,High,2026-07-25
CMP_000212,King-Martinez,Technology,Small Business,Mid-Market,Professional,0,0,0,1,1004,12,9039,High,2026-07-19
CMP_000213,Stewart Ltd,Retail,Startup,SMB,Business,4990.00,4590.30,91.99,0,176,2,1633,High,2026-07-24
CMP_000214,"Tapia, Vaughn and Lee",Education,Startup,Enterprise,Professional,23641.20,22381.92,94.67,0,346,4,2925,High,2026-07-09
CMP_000215,"Washington, Hardy and Bray",Finance,Startup,SMB,Starter,539.00,247.83,45.98,0,167,5,1399,High,2026-07-04
CMP_000216,"Carlson, Hooper and Wall",Manufacturing,Mid-Market,Mid-Market,Business,5489.00,5049.33,91.99,0,4458,58,40128,High,2026-07-26
CMP_000217,Perez-White,Education,Small Business,SMB,Business,59281.20,57227.72,96.54,0,1031,12,9412,High,2026-07-21
CMP_000218,Erickson and Sons,Finance,Mid-Market,Enterprise,Professional,0,0,0,1,2735,41,25043,High,2026-07-22
CMP_000219,Williams-Brown,Healthcare,Small Business,Mid-Market,Starter,588.00,270.36,45.98,0,235,4,2204,High,2026-07-16
CMP_000220,Terry-Martinez,Professional Services,Startup,SMB,Business,4990.00,4590.30,91.99,0,383,5,3427,High,2026-07-10
CMP_000222,Harrison-Alexander,Technology,Small Business,SMB,Professional,0,0,0,1,234,3,2281,High,2026-07-05
CMP_000223,Sheppard LLC,Healthcare,Mid-Market,SMB,Professional,2388.00,1716.36,71.87,0,3654,52,32933,High,2026-07-23
CMP_000224,Wilson-Jones,Manufacturing,Small Business,SMB,Starter,0,0,0,1,335,6,3141,High,2026-07-07
CMP_000225,Jones-Soto,Finance,Startup,SMB,Professional,2189.00,1573.33,71.87,0,251,4,2373,High,2026-07-10
CMP_000227,Miller-Wright,Technology,Startup,SMB,Starter,539.00,247.83,45.98,0,209,4,1876,High,2026-05-29
CMP_000228,"Duran, Obrien and Gibbs",Technology,Small Business,Enterprise,Starter,441.00,202.77,45.98,0,1458,20,13346,High,2026-07-26
CMP_000230,Kerr-Evans,Professional Services,Small Business,SMB,Starter,588.00,270.36,45.98,0,280,3,2490,High,2026-07-09
CMP_000231,"Branch, Torres and Oliver",Technology,Startup,SMB,Enterprise,145800.00,140076.00,96.07,0,173,4,1519,High,2026-05-15
CMP_000232,"Choi, Garcia and Farmer",Professional Services,Startup,SMB,Professional,2189.00,1573.33,71.87,0,249,4,2387,High,2026-06-26
CMP_000234,Arnold and Sons,Manufacturing,Mid-Market,SMB,Business,4990.00,4590.30,91.99,0,7410,97,68102,High,2026-07-25
CMP_000237,Warner-Gibson,Technology,Small Business,Mid-Market,Business,53892.00,52025.20,96.54,0,1342,20,12164,High,2026-07-20
CMP_000238,"Hall, Baker and Moody",Education,Mid-Market,SMB,Business,64670.40,62430.24,96.54,0,5777,83,52030,High,2026-07-27
CMP_000239,"Guerrero, Peck and Coleman",Technology,Startup,SMB,Starter,490.00,225.30,45.98,0,10,1,75,Low,2026-02-10
CMP_000240,"Walker, Hernandez and Baker",Technology,Small Business,SMB,Starter,539.00,247.83,45.98,0,255,3,2430,High,2026-07-15
CMP_000242,Larson-Holloway,Professional Services,Mid-Market,SMB,Professional,0,0,0,1,6477,98,58759,High,2026-07-27
CMP_000244,Lyons-Bender,Technology,Small Business,Mid-Market,Professional,2388.00,1716.36,71.87,0,1316,20,11822,High,2026-07-19
CMP_000247,Davis Ltd,Healthcare,Small Business,SMB,Business,4990.00,4590.30,91.99,0,1264,19,11626,High,2026-07-21
CMP_000248,"Matthews, Smith and Hubbard",Technology,Startup,Mid-Market,Starter,588.00,270.36,45.98,0,247,4,2328,High,2026-07-05
CMP_000249,Johnston-Hines,Technology,Mid-Market,SMB,Business,4990.00,4590.30,91.99,0,2188,36,19759,High,2026-07-20
CMP_000250,Ruiz Ltd,Retail,Mid-Market,Mid-Market,Business,0,0,0,1,6064,82,55783,High,2026-07-23
CMP_000251,Moon-White,Professional Services,Small Business,SMB,Enterprise,194400.00,186768.00,96.07,0,707,9,6403,High,2026-07-17
CMP_000254,"Garcia, Martin and Jenkins",Retail,Small Business,SMB,Professional,2189.00,1573.33,71.87,0,1172,16,10398,High,2026-07-22
CMP_000258,"Bryan, Smith and Booth",Technology,Small Business,SMB,Starter,5821.20,5371.52,92.28,0,577,8,5199,High,2026-07-11
CMP_000259,Gutierrez-Lopez,Technology,Small Business,SMB,Professional,1990.00,1430.30,71.87,0,1020,14,9496,High,2026-07-24
CMP_000260,Dean-Jimenez,Healthcare,Startup,SMB,Professional,1990.00,1430.30,71.87,0,243,3,2322,High,2026-07-22
CMP_000261,Wolf-Harris,Professional Services,Small Business,SMB,Professional,23641.20,22381.92,94.67,0,286,5,2727,High,2026-07-24
CMP_000264,"Lloyd, Mckinney and Collins",Technology,Mid-Market,Mid-Market,Professional,1990.00,1430.30,71.87,0,1763,23,16175,High,2026-07-22
CMP_000265,Tran Inc,Healthcare,Mid-Market,Mid-Market,Professional,2388.00,1716.36,71.87,0,3649,49,33444,High,2026-07-26
CMP_000266,Gay Inc,Technology,Startup,SMB,Starter,539.00,247.83,45.98,0,308,5,2904,High,2026-07-16
CMP_000269,Hicks-Hill,Finance,Small Business,SMB,Professional,0,0,0,1,967,14,9085,High,2026-07-18
CMP_000274,Hoover-Campbell,Finance,Startup,SMB,Business,64670.40,62430.24,96.54,0,373,5,3136,High,2026-06-29
CMP_000275,Monroe-Carpenter,Manufacturing,Startup,Mid-Market,Starter,490.00,225.30,45.98,0,25,1,204,Medium,2026-03-27
CMP_000276,"Burns, Hernandez and Ryan",Retail,Startup,SMB,Business,64670.40,62430.24,96.54,0,139,3,1316,High,2026-06-14
CMP_000277,Cook-Hines,Finance,Mid-Market,SMB,Starter,588.00,270.36,45.98,0,2747,37,25049,High,2026-07-23
CMP_000280,"Reyes, Chase and Jenkins",Finance,Startup,Mid-Market,Professional,2388.00,1716.36,71.87,0,347,4,2926,High,2026-07-10
CMP_000282,Hughes-Alvarado,Healthcare,Mid-Market,SMB,Business,4990.00,4590.30,91.99,0,2484,34,22645,High,2026-07-27
CMP_000283,"Pollard, Simpson and Johnson",Retail,Startup,SMB,Professional,2189.00,1573.33,71.87,0,277,4,2325,High,2026-07-21
CMP_000284,"Sanford, Rivera and Garcia",Finance,Small Business,Mid-Market,Starter,6350.40,5859.84,92.28,0,885,13,8021,High,2026-07-19
CMP_000286,Bowen Group,Manufacturing,Enterprise,Mid-Market,Business,5489.00,5049.33,91.99,0,24652,347,225623,High,2026-07-27
CMP_000287,"Booker, Jones and Harrington",Manufacturing,Startup,Enterprise,Business,4990.00,4590.30,91.99,0,58,2,606,High,2026-05-26
CMP_000288,Morgan-Schwartz,Healthcare,Small Business,SMB,Professional,1990.00,1430.30,71.87,0,564,9,5204,High,2026-07-24
CMP_000290,"James, Stewart and Higgins",Manufacturing,Startup,SMB,Business,53892.00,52025.20,96.54,0,373,3,3273,High,2026-07-11
CMP_000291,Brennan-Johnson,Healthcare,Mid-Market,SMB,Starter,588.00,270.36,45.98,0,5813,85,52846,High,2026-07-27
CMP_000292,Young Ltd,Healthcare,Startup,SMB,Professional,1791.00,1287.27,71.87,0,24,1,212,Medium,2026-03-22
CMP_000293,Bright-Francis,Retail,Small Business,SMB,Business,5988.00,5508.36,91.99,0,169,4,1612,High,2026-06-16
CMP_000294,Good-Hodges,Retail,Small Business,SMB,Enterprise,16500.00,14355.00,87.00,0,1447,16,13405,High,2026-07-17
CMP_000295,"Brennan, Wallace and Benson",Finance,Startup,SMB,Business,4990.00,4590.30,91.99,0,152,3,1346,High,2026-07-09
CMP_000296,Williams Inc,Technology,Startup,Enterprise,Professional,2189.00,1573.33,71.87,0,289,3,2743,High,2026-07-05
CMP_000297,Howard-Jordan,Professional Services,Startup,SMB,Professional,1990.00,1430.30,71.87,0,117,3,1071,High,2026-06-04
CMP_000299,"Sparks, Jackson and Miller",Technology,Enterprise,Mid-Market,Starter,490.00,225.30,45.98,0,24595,326,223847,High,2026-07-25
CMP_000304,Jones LLC,Education,Enterprise,SMB,Professional,0,0,0,1,27674,383,252342,High,2026-07-26
CMP_000308,Armstrong-Andrews,Technology,Small Business,SMB,Starter,588.00,270.36,45.98,0,318,3,2742,High,2026-07-15
CMP_000311,"Beltran, Lozano and Mcgee",Technology,Small Business,SMB,Professional,0,0,0,1,1129,17,10626,High,2026-07-16
CMP_000312,Parsons-Hall,Retail,Startup,SMB,Business,5988.00,5508.36,91.99,0,29,1,265,Medium,2026-03-08
CMP_000313,Robinson-Lee,Finance,Small Business,SMB,Starter,539.00,247.83,45.98,0,732,9,6838,High,2026-07-23
CMP_000314,Byrd-Le,Healthcare,Startup,Mid-Market,Starter,588.00,270.36,45.98,0,415,5,3680,High,2026-07-13
