company_id,company_name,industry,company_size,customer_segment,country,region,acquisition_channel,plan,billing_cycle,monthly_price,total_revenue,total_profit,total_payments,churn_flag,customer_lifetime_days,customer_value_segment
CMP_000072,House-Glover,Professional Services,Mid-Market,SMB,Spain,Europe,Organic Search,Professional,Monthly,199.00,1592.00,1144.24,8,0,1093,Low Value
CMP_000075,Novak PLC,Technology,Small Business,SMB,Argentina,Latin America,Partner,Starter,Monthly,49.00,0,0,0,1,365,Low Value
CMP_000076,"Daniels, Adkins and Brown",Technology,Mid-Market,SMB,Mexico,North America,Email Marketing,Professional,Monthly,199.00,995.00,715.15,5,1,208,Low Value
CMP_000077,"Woods, Calhoun and Schmidt",Retail,Startup,SMB,United States,North America,Organic Search,Business,Monthly,499.00,5988.00,5508.36,12,0,925,Medium Value
CMP_000078,Yu Inc,Retail,Small Business,Enterprise,Nigeria,Africa,Organic Search,Starter,Monthly,49.00,539.00,247.83,11,0,1031,Low Value
CMP_000079,Jones Inc,Manufacturing,Small Business,SMB,Japan,Asia-Pacific,Google Ads,Starter,Monthly,49.00,441.00,202.77,9,0,2194,Low Value
CMP_000080,"Hensley, Powell and David",Healthcare,Small Business,SMB,Kenya,Africa,Email Marketing,Enterprise,Monthly,1500.00,18000.00,15660.00,12,0,1867,High Value
CMP_000081,"Sanchez, Wheeler and Harvey",Healthcare,Small Business,SMB,Mexico,North America,Google Ads,Starter,Monthly,49.00,588.00,270.36,12,0,749,Low Value
CMP_000084,"Edwards, Baker and Anderson",Technology,Small Business,SMB,Argentina,Latin America,Email Marketing,Starter,Monthly,49.00,539.00,247.83,11,0,1615,Low Value
CMP_000085,"Evans, Stewart and Walton",Technology,Startup,SMB,Kenya,Africa,Organic Search,Starter,Monthly,49.00,0,0,0,1,81,Low Value
CMP_000086,Smith PLC,Finance,Mid-Market,Enterprise,Singapore,Asia-Pacific,LinkedIn Ads,Professional,Monthly,199.00,2388.00,1716.36,12,0,1631,Low Value
CMP_000088,Anderson-Bailey,Technology,Mid-Market,Mid-Market,Spain,Europe,Organic Search,Professional,Monthly,199.00,2388.00,1716.36,12,0,1292,Low Value
CMP_000095,Campbell-Clark,Finance,Startup,SMB,Nigeria,Africa,Organic Search,Starter,Annual,529.20,6350.40,5859.84,12,0,2216,Medium Value
CMP_000097,Wagner-King,Retail,Startup,Mid-Market,United Kingdom,Europe,Google Ads,Starter,Annual,529.20,5821.20,5371.52,11,0,1770,Medium Value
CMP_000099,Williams-Cook,Healthcare,Startup,SMB,Nigeria,Africa,Referral,Starter,Monthly,49.00,539.00,247.83,11,0,1543,Low Value
CMP_000100,Walsh LLC,Technology,Startup,Mid-Market,Chile,Latin America,Referral,Professional,Monthly,199.00,1990.00,1430.30,10,0,2029,Low Value
CMP_000102,"Patterson, Smith and Jones",Retail,Mid-Market,Mid-Market,United Kingdom,Europe,Organic Search,Professional,Monthly,199.00,2388.00,1716.36,12,0,830,Low Value
CMP_000103,"Mckee, Gardner and Davenport",Finance,Startup,SMB,Kenya,Africa,Google Ads,Enterprise,Annual,16200.00,178200.00,171204.00,11,0,1245,High Value
CMP_000104,"Tran, Jordan and Williams",Technology,Startup,SMB,Mexico,North America,Content Marketing,Enterprise,Monthly,1500.00,13500.00,11745.00,9,0,961,High Value
CMP_000106,Nolan and Sons,Technology,Startup,SMB,Argentina,Latin America,Referral,Professional,Annual,2149.20,0,0,0,1,185,Low Value
CMP_000107,"Wright, Garcia and Deleon",Healthcare,Enterprise,SMB,Nigeria,Africa,Organic Search,Professional,Monthly,199.00,2388.00,1716.36,12,0,838,Low Value
CMP_000110,Johnson-Doyle,Manufacturing,Mid-Market,SMB,Canada,North America,Organic Search,Starter,Monthly,49.00,539.00,247.83,11,0,899,Low Value
CMP_000112,"Shields, Cochran and Adams",Finance,Small Business,SMB,United Kingdom,Europe,Organic Search,Professional,Monthly,199.00,0,0,0,1,148,Low Value
CMP_000114,Gonzalez Group,Finance,Small Business,SMB,United States,North America,Organic Search,Enterprise,Monthly,1500.00,16500.00,14355.00,11,0,638,High Value
CMP_000116,Walker Ltd,Manufacturing,Mid-Market,SMB,Mexico,North America,Content Marketing,Professional,Monthly,199.00,2388.00,1716.36,12,0,1799,Low Value
CMP_000119,May-Ross,Healthcare,Small Business,SMB,United Kingdom,Europe,LinkedIn Ads,Professional,Monthly,199.00,2189.00,1573.33,11,0,1508,Low Value
CMP_000121,White-Estes,Technology,Small Business,SMB,South Africa,Africa,Google Ads,Starter,Monthly,49.00,490.00,225.30,10,0,1747,Low Value
CMP_000122,Johnson-Carlson,Manufacturing,Small Business,Mid-Market,United States,North America,LinkedIn Ads,Professional,Monthly,199.00,1791.00,1287.27,9,0,1778,Low Value
CMP_000124,"Joyce, Wilson and Lam",Manufacturing,Startup,Mid-Market,South Africa,Africa,Organic Search,Starter,Monthly,49.00,490.00,225.30,10,0,2092,Low Value
CMP_000126,Smith-Frost,Finance,Startup,SMB,United Kingdom,Europe,Organic Search,Enterprise,Monthly,1500.00,16500.00,14355.00,11,0,1442,High Value
CMP_000127,"Mcdaniel, Bentley and Mclaughlin",Technology,Small Business,SMB,Tanzania,Africa,Referral,Professional,Monthly,199.00,1990.00,1430.30,10,0,647,Low Value
CMP_000128,Diaz Inc,Retail,Startup,Mid-Market,Germany,Europe,Content Marketing,Business,Monthly,499.00,5489.00,5049.33,11,0,1297,Medium Value
CMP_000129,"Mccall, Hanson and Alvarado",Education,Startup,SMB,Chile,Latin America,Partner,Starter,Monthly,49.00,539.00,247.83,11,0,1268,Low Value
CMP_000130,Cortez LLC,Professional Services,Enterprise,SMB,Chile,Latin America,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,967,Low Value
CMP_000131,"Parker, Ortiz and Powell",Technology,Mid-Market,SMB,South Africa,Africa,Google Ads,Enterprise,Monthly,1500.00,18000.00,15660.00,12,0,1436,High Value
CMP_000132,Spencer-Lee,Healthcare,Startup,SMB,India,Asia-Pacific,Partner,Starter,Monthly,49.00,588.00,270.36,12,0,1728,Low Value
CMP_000133,"Bentley, Byrd and Orr",Professional Services,Small Business,SMB,Brazil,Latin America,Content Marketing,Starter,Monthly,49.00,539.00,247.83,11,0,1352,Low Value
CMP_000135,Mitchell-Jordan,Retail,Startup,SMB,Japan,Asia-Pacific,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,1652,Low Value
CMP_000136,"Lawson, Morris and Ramos",Finance,Small Business,SMB,Kenya,Africa,Referral,Professional,Monthly,199.00,1990.00,1430.30,10,0,1561,Low Value
CMP_000137,"Lewis, Kennedy and Santana",Technology,Small Business,SMB,South Africa,Africa,Organic Search,Professional,Monthly,199.00,1990.00,1430.30,10,0,889,Low Value
CMP_000138,"Jackson, Miller and Robertson",Finance,Small Business,SMB,Germany,Europe,LinkedIn Ads,Starter,Monthly,49.00,588.00,270.36,12,0,1523,Low Value
CMP_000139,"Harvey, Davis and Crane",Technology,Mid-Market,Enterprise,United States,North America,Google Ads,Starter,Monthly,49.00,0,0,0,1,175,Low Value
CMP_000140,Chambers and Sons,Technology,Startup,Mid-Market,Mexico,North America,Referral,Professional,Monthly,199.00,2189.00,1573.33,11,0,1997,Low Value
CMP_000142,Riggs PLC,Retail,Mid-Market,Mid-Market,Chile,Latin America,Email Marketing,Starter,Monthly,49.00,588.00,270.36,12,0,1216,Low Value
CMP_000143,Gibson Ltd,Manufacturing,Small Business,SMB,Tanzania,Africa,Organic Search,Professional,Monthly,199.00,0,0,0,1,276,Low Value
CMP_000144,"Lee, Horton and Snyder",Technology,Startup,SMB,Tanzania,Africa,Organic Search,Professional,Annual,2149.20,0,0,0,1,163,Low Value
CMP_000145,Hernandez Ltd,Manufacturing,Mid-Market,SMB,Brazil,Latin America,Google Ads,Professional,Monthly,199.00,1990.00,1430.30,10,0,1611,Low Value
CMP_000147,Robinson-Brock,Technology,Mid-Market,SMB,Kenya,Africa,Content Marketing,Starter,Monthly,49.00,490.00,225.30,10,0,1544,Low Value
CMP_000149,Bryant Group,Technology,Mid-Market,Enterprise,France,Europe,LinkedIn Ads,Professional,Monthly,199.00,0,0,0,1,39,Low Value
CMP_000150,"Schmidt, Hansen and Stewart",Technology,Enterprise,SMB,France,Europe,LinkedIn Ads,Starter,Monthly,49.00,343.00,157.71,7,0,1289,Low Value
CMP_000151,Salazar-Ball,Retail,Mid-Market,SMB,United Kingdom,Europe,Organic Search,Professional,Monthly,199.00,2388.00,1716.36,12,0,1033,Low Value
CMP_000152,"Simmons, Meadows and Griffin",Education,Startup,SMB,Kenya,Africa,LinkedIn Ads,Business,Monthly,499.00,1497.00,1377.09,3,1,89,Low Value
CMP_000153,Manning Group,Finance,Small Business,SMB,United States,North America,Organic Search,Business,Monthly,499.00,5489.00,5049.33,11,0,921,Medium Value
CMP_000154,Green-Wright,Technology,Small Business,SMB,Germany,Europe,Google Ads,Business,Monthly,499.00,4990.00,4590.30,10,0,2364,Medium Value
CMP_000155,"Ramirez, Strickland and Washington",Education,Startup,SMB,France,Europe,LinkedIn Ads,Professional,Monthly,199.00,2189.00,1573.33,11,0,1714,Low Value
CMP_000156,Hill Inc,Finance,Startup,SMB,Argentina,Latin America,Organic Search,Professional,Monthly,199.00,1791.00,1287.27,9,0,1396,Low Value
CMP_000157,"Mitchell, Nelson and Flores",Technology,Small Business,SMB,United States,North America,Google Ads,Starter,Monthly,49.00,539.00,247.83,11,0,1323,Low Value
CMP_000158,"Miller, Hernandez and Reyes",Finance,Small Business,SMB,France,Europe,Organic Search,Enterprise,Monthly,1500.00,13500.00,11745.00,9,0,844,High Value
CMP_000159,Mccarthy Inc,Technology,Enterprise,SMB,Kenya,Africa,Organic Search,Business,Monthly,499.00,0,0,0,1,394,Low Value
CMP_000160,Russell-Daniels,Technology,Enterprise,SMB,Japan,Asia-Pacific,Organic Search,Business,Monthly,499.00,5489.00,5049.33,11,0,701,Medium Value
CMP_000161,Brown-Wall,Retail,Mid-Market,Mid-Market,Tanzania,Africa,Referral,Professional,Monthly,199.00,2388.00,1716.36,12,0,812,Low Value
CMP_000162,Stein-Silva,Finance,Startup,Enterprise,Singapore,Asia-Pacific,Content Marketing,Professional,Annual,2149.20,25790.40,24416.64,12,0,1069,High Value
CMP_000163,"Smith, Gilmore and Johnston",Retail,Enterprise,SMB,Spain,Europe,LinkedIn Ads,Starter,Monthly,49.00,588.00,270.36,12,0,1950,Low Value
CMP_000166,Medina-Navarro,Technology,Startup,SMB,South Africa,Africa,Google Ads,Professional,Monthly,199.00,2189.00,1573.33,11,0,2325,Low Value
CMP_000168,Johnson-Rogers,Retail,Startup,SMB,Tanzania,Africa,Content Marketing,Starter,Monthly,49.00,490.00,225.30,10,0,1141,Low Value
CMP_000169,"Yates, Ramsey and Pittman",Professional Services,Mid-Market,Enterprise,Brazil,Latin America,Google Ads,Professional,Monthly,199.00,1990.00,1430.30,10,0,2139,Low Value
CMP_000170,Hooper PLC,Retail,Mid-Market,Enterprise,France,Europe,Partner,Starter,Annual,529.20,5821.20,5371.52,11,0,2015,Medium Value
CMP_000172,"Alvarado, Miller and Patterson",Technology,Startup,SMB,Kenya,Africa,Email Marketing,Starter,Monthly,49.00,490.00,225.30,10,0,1970,Low Value
CMP_000173,White-Green,Healthcare,Startup,Enterprise,United Kingdom,Europe,Partner,Starter,Monthly,49.00,490.00,225.30,10,0,1428,Low Value
CMP_000174,Lewis-Murphy,Professional Services,Mid-Market,SMB,Spain,Europe,Content Marketing,Enterprise,Monthly,1500.00,16500.00,14355.00,11,0,1124,High Value
CMP_000175,Ramirez-Bean,Professional Services,Startup,Enterprise,Chile,Latin America,Referral,Starter,Monthly,49.00,539.00,247.83,11,0,820,Low Value
CMP_000176,King-Miller,Technology,Startup,SMB,France,Europe,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,577,Low Value
CMP_000177,Curry Inc,Technology,Enterprise,Mid-Market,Singapore,Asia-Pacific,Content Marketing,Professional,Monthly,199.00,2189.00,1573.33,11,0,565,Low Value
CMP_000180,Howell and Sons,Technology,Mid-Market,SMB,India,Asia-Pacific,Google Ads,Starter,Monthly,49.00,588.00,270.36,12,0,1021,Low Value
CMP_000182,"Gould, Marshall and Scott",Technology,Startup,SMB,Japan,Asia-Pacific,Organic Search,Professional,Monthly,199.00,2189.00,1573.33,11,0,1183,Low Value
CMP_000183,Jackson-Lawson,Manufacturing,Small Business,Enterprise,Argentina,Latin America,LinkedIn Ads,Professional,Monthly,199.00,2388.00,1716.36,12,0,2257,Low Value
CMP_000187,Sanders-Espinoza,Technology,Startup,Mid-Market,Chile,Latin America,Organic Search,Professional,Monthly,199.00,2189.00,1573.33,11,0,1037,Low Value
CMP_000188,Vargas Ltd,Education,Startup,SMB,Kenya,Africa,Organic Search,Starter,Monthly,49.00,490.00,225.30,10,0,1134,Low Value
CMP_000189,Garcia LLC,Technology,Small Business,SMB,Spain,Europe,Partner,Business,Monthly,499.00,5489.00,5049.33,11,0,1906,Medium Value
CMP_000190,"Burke, Martinez and Riggs",Finance,Enterprise,SMB,Germany,Europe,Referral,Professional,Annual,2149.20,21492.00,20347.20,10,0,2270,High Value
CMP_000191,Reed Group,Technology,Mid-Market,Enterprise,Kenya,Africa,Organic Search,Enterprise,Monthly,1500.00,15000.00,13050.00,10,0,1394,High Value
CMP_000192,"Wood, Hunter and Peterson",Retail,Startup,SMB,South Africa,Africa,Organic Search,Starter,Annual,529.20,5292.00,4883.20,10,0,1095,Medium Value
CMP_000196,"Nelson, Morton and Medina",Technology,Startup,SMB,Brazil,Latin America,Referral,Business,Monthly,499.00,5988.00,5508.36,12,0,1507,Medium Value
CMP_000197,Marshall-Petersen,Technology,Mid-Market,Enterprise,France,Europe,Content Marketing,Starter,Annual,529.20,6350.40,5859.84,12,0,589,Medium Value
CMP_000198,"Adams, Christian and Rivas",Professional Services,Small Business,Mid-Market,Kenya,Africa,Organic Search,Professional,Annual,2149.20,19342.80,18312.48,9,0,1121,High Value
CMP_000199,Ramirez Group,Retail,Small Business,Mid-Market,Chile,Latin America,LinkedIn Ads,Starter,Monthly,49.00,490.00,225.30,10,0,1273,Low Value
CMP_000201,"Barnett, Rogers and Snyder",Education,Startup,Enterprise,Chile,Latin America,Email Marketing,Business,Monthly,499.00,4990.00,4590.30,10,0,1812,Medium Value
CMP_000204,"Beard, Peters and Black",Finance,Small Business,SMB,Australia,Asia-Pacific,Referral,Starter,Monthly,49.00,539.00,247.83,11,0,2184,Low Value
CMP_000205,Miller Ltd,Technology,Small Business,SMB,South Africa,Africa,Organic Search,Professional,Monthly,199.00,1990.00,1430.30,10,0,657,Low Value
CMP_000207,"Alvarez, Joseph and West",Finance,Startup,SMB,United Kingdom,Europe,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,2155,Low Value
CMP_000208,Davis and Sons,Retail,Small Business,Mid-Market,Japan,Asia-Pacific,Organic Search,Starter,Annual,529.20,6350.40,5859.84,12,0,1047,Medium Value
CMP_000209,Holt-Torres,Retail,Mid-Market,SMB,Australia,Asia-Pacific,Content Marketing,Professional,Monthly,199.00,0,0,0,1,227,Low Value
CMP_000211,"Pierce, Bell and Chavez",Retail,Small Business,SMB,Australia,Asia-Pacific,Partner,Professional,Monthly,199.00,2388.00,1716.36,12,0,1210,Low Value
CMP_000212,King-Martinez,Technology,Small Business,Mid-Market,Argentina,Latin America,LinkedIn Ads,Professional,Monthly,199.00,0,0,0,1,344,Low Value
CMP_000213,Stewart Ltd,Retail,Startup,SMB,United Kingdom,Europe,Referral,Business,Monthly,499.00,4990.00,4590.30,10,0,669,Medium Value
CMP_000214,"Tapia, Vaughn and Lee",Education,Startup,Enterprise,Singapore,Asia-Pacific,Email Marketing,Professional,Annual,2149.20,23641.20,22381.92,11,0,1426,High Value
CMP_000215,"Washington, Hardy and Bray",Finance,Startup,SMB,Kenya,Africa,Organic Search,Starter,Monthly,49.00,539.00,247.83,11,0,1012,Low Value
CMP_000216,"Carlson, Hooper and Wall",Manufacturing,Mid-Market,Mid-Market,Brazil,Latin America,Google Ads,Business,Monthly,499.00,5489.00,5049.33,11,0,1627,Medium Value
CMP_000217,Perez-White,Education,Small Business,SMB,Canada,North America,LinkedIn Ads,Business,Annual,5389.20,59281.20,57227.72,11,0,1090,High Value
CMP_000218,Erickson and Sons,Finance,Mid-Market,Enterprise,Brazil,Latin America,Google Ads,Professional,Annual,2149.20,0,0,0,1,369,Low Value
CMP_000219,Williams-Brown,Healthcare,Small Business,Mid-Market,Germany,Europe,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,781,Low Value
CMP_000220,Terry-Martinez,Professional Services,Startup,SMB,United Kingdom,Europe,Email Marketing,Business,Monthly,499.00,4990.00,4590.30,10,0,1468,Medium Value
CMP_000222,Harrison-Alexander,Technology,Small Business,SMB,France,Europe,Google Ads,Professional,Annual,2149.20,0,0,0,1,182,Low Value
CMP_000223,Sheppard LLC,Healthcare,Mid-Market,SMB,India,Asia-Pacific,Email Marketing,Professional,Monthly,199.00,2388.00,1716.36,12,0,1997,Low Value
CMP_000224,Wilson-Jones,Manufacturing,Small Business,SMB,Australia,Asia-Pacific,Google Ads,Starter,Annual,529.20,0,0,0,1,206,Low Value
CMP_000225,Jones-Soto,Finance,Startup,SMB,France,Europe,Referral,Professional,Monthly,199.00,2189.00,1573.33,11,0,1624,Low Value
CMP_000227,Miller-Wright,Technology,Startup,SMB,United States,North America,Organic Search,Starter,Monthly,49.00,539.00,247.83,11,0,1335,Low Value
CMP_000228,"Duran, Obrien and Gibbs",Technology,Small Business,Enterprise,Brazil,Latin America,Google Ads,Starter,Monthly,49.00,441.00,202.77,9,0,1065,Low Value
CMP_000230,Kerr-Evans,Professional Services,Small Business,SMB,United Kingdom,Europe,LinkedIn Ads,Starter,Monthly,49.00,588.00,270.36,12,0,869,Low Value
CMP_000231,"Branch, Torres and Oliver",Technology,Startup,SMB,Japan,Asia-Pacific,Referral,Enterprise,Annual,16200.00,145800.00,140076.00,9,0,1424,High Value
CMP_000232,"Choi, Garcia and Farmer",Professional Services,Startup,SMB,South Africa,Africa,Google Ads,Professional,Monthly,199.00,2189.00,1573.33,11,0,776,Low Value
CMP_000234,Arnold and Sons,Manufacturing,Mid-Market,SMB,Nigeria,Africa,Partner,Business,Monthly,499.00,4990.00,4590.30,10,0,1320,Medium Value
CMP_000237,Warner-Gibson,Technology,Small Business,Mid-Market,Canada,North America,Content Marketing,Business,Annual,5389.20,53892.00,52025.20,10,0,857,High Value
CMP_000238,"Hall, Baker and Moody",Education,Mid-Market,SMB,Spain,Europe,Partner,Business,Annual,5389.20,64670.40,62430.24,12,0,1489,High Value
CMP_000239,"Guerrero, Peck and Coleman",Technology,Startup,SMB,United States,North America,Google Ads,Starter,Monthly,49.00,490.00,225.30,10,0,1452,Low Value
CMP_000240,"Walker, Hernandez and Baker",Technology,Small Business,SMB,Chile,Latin America,Organic Search,Starter,Monthly,49.00,539.00,247.83,11,0,664,Low Value
CMP_000242,Larson-Holloway,Professional Services,Mid-Market,SMB,South Africa,Africa,Organic Search,Professional,Monthly,199.00,0,0,0,1,353,Low Value
CMP_000244,Lyons-Bender,Technology,Small Business,Mid-Market,South Africa,Africa,Organic Search,Professional,Monthly,199.00,2388.00,1716.36,12,0,2260,Low Value
CMP_000247,Davis Ltd,Healthcare,Small Business,SMB,Argentina,Latin America,Organic Search,Business,Monthly,499.00,4990.00,4590.30,10,0,1324,Medium Value
CMP_000248,"Matthews, Smith and Hubbard",Technology,Startup,Mid-Market,Germany,Europe,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,1281,Low Value
CMP_000249,Johnston-Hines,Technology,Mid-Market,SMB,Argentina,Latin America,LinkedIn Ads,Business,Monthly,499.00,4990.00,4590.30,10,0,1500,Medium Value
CMP_000250,Ruiz Ltd,Retail,Mid-Market,Mid-Market,Singapore,Asia-Pacific,Organic Search,Business,Monthly,499.00,0,0,0,1,113,Low Value
